Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
0,-0.00351307692307692,-0.000557692307692332,0.00114923076923076,-0.00058230769230769,0.00271230769230769,0.00222153846153846,-0.00351307692307692,0.00050461538461542,-0.00102692307692303,0.000526923076923091,0.00272,0.00222538461538462
1,-0.00404857142857143,-0.000639285714285739,0.00131571428571428,-0.000667142857142854,0.00312714285714286,0.00256071428571429,-0.00404857142857143,0.000585714285714324,-0.0011928571428571,0.000612142857142871,0.00313428571428571,0.00256428571428571
2,-0.004624,-0.000725333333333356,0.00149133333333333,-0.000757333333333332,0.00357266666666667,0.00292533333333333,-0.004624,0.000674666666666705,-0.00137399999999996,0.000704666666666679,0.00357933333333333,0.00292866666666667
3,-0.00524125,-0.000816250000000025,0.00167687499999999,-0.000852499999999999,0.00405,0.00331625,-0.00524125,0.000771250000000036,-0.00157187499999996,0.000805000000000014,0.004056875,0.003319375
4,-0.00590235294117647,-0.000911764705882377,0.00187176470588234,-0.000952941176470588,0.00456176470588235,0.00373529411764706,-0.00590235294117647,0.000876470588235328,-0.00178705882352937,0.000914117647058837,0.00456823529411765,0.00373823529411765
5,-0.00661,-0.00101222222222225,0.00207611111111111,-0.00105833333333333,0.00510944444444444,0.00418333333333333,-0.00660944444444445,0.000991111111111146,-0.00202166666666663,0.00103277777777779,0.00511555555555556,0.00418611111111111
6,-0.00736736842105263,-0.00111736842105266,0.00228947368421053,-0.00116894736842105,0.00569526315789474,0.00466263157894737,-0.00736578947368421,0.00111631578947372,-0.00227789473684206,0.00116157894736843,0.00570105263157895,0.00466526315789474
7,-0.008177,-0.00122700000000003,0.002512,-0.001285,0.006322,0.0051755,-0.008175,0.00125300000000004,-0.00255799999999996,0.00130200000000001,0.006327,0.0051775
8,-0.00904285714285714,-0.00134095238095241,0.00274333333333334,-0.00140619047619048,0.00699190476190476,0.00572380952380952,-0.00904,0.00140238095238099,-0.00286428571428567,0.00145523809523811,0.00699619047619048,0.0057252380952381
9,-0.00996909090909091,-0.00145909090909094,0.00298272727272727,-0.00153227272727273,0.00770863636363636,0.00631045454545455,-0.009965,0.00156590909090913,-0.00319999999999996,0.00162227272727274,0.00771181818181818,0.00631090909090909
10,-0.0109595652173913,-0.00158130434782612,0.0032295652173913,-0.00166347826086957,0.00847521739130435,0.00693782608695652,-0.0109539130434783,0.00174521739130438,-0.00356826086956518,0.00180521739130436,0.00847695652173913,0.00693739130434783
11,-0.0120275,-0.00170750000000003,0.00348458333333334,-0.0018,0.00930166666666667,0.00761416666666667,-0.0120195833333333,0.00194375000000004,-0.00397666666666663,0.00200708333333334,0.00930166666666667,0.0076125
12,-0.01317,-0.00183680000000003,0.00374480000000001,-0.0019408,0.0101856,0.008338,-0.0131596,0.00216240000000004,-0.00442679999999996,0.00222880000000001,0.010184,0.0083348
13,-0.0149688,-0.00204680000000003,0.00416880000000001,-0.0021684,0.0115772,0.0094776,-0.0149548,0.00249960000000004,-0.00512079999999996,0.00257160000000001,0.0115732,0.009472
14,-0.0169524,-0.00226800000000003,0.00461320000000001,-0.0024096,0.0131124,0.0107344,-0.016934,0.00288280000000004,-0.00590999999999996,0.00296000000000001,0.0131048,0.0107256
15,-0.019134,-0.00249800000000004,0.00507440000000001,-0.0026632,0.0148004,0.0121168,-0.01911,0.00331840000000004,-0.00680679999999996,0.00339960000000001,0.0147884,0.0121044
