Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
43,0.07819,-0.55051,1.03873,-0.39024,-0.06048,-0.04958,0.17603,-0.55988,1.06009,-0.40838,-0.13594,-0.1122
44,0.08735,-0.55033,1.0315,-0.38357,-0.06756,-0.05541,0.1851,-0.56046,1.05453,-0.40305,-0.14291,-0.11805
45,0.09481,-0.55085,1.02492,-0.3768,-0.07333,-0.06016,0.19248,-0.56162,1.04933,-0.39738,-0.14858,-0.12283
46,0.10073,-0.55209,1.01906,-0.36999,-0.0779,-0.06393,0.19832,-0.56339,1.04459,-0.39144,-0.15307,-0.12661
47,0.10529,-0.55399,1.0139,-0.36316,-0.08142,-0.06684,0.20282,-0.56572,1.04032,-0.38529,-0.15652,-0.12953
48,0.10893,-0.55719,1.01135,-0.3576,-0.08423,-0.06916,0.20712,-0.57568,1.05425,-0.38971,-0.15982,-0.13232
49,0.11177,-0.56422,1.02141,-0.36078,-0.08642,-0.07097,0.21462,-0.61941,1.15936,-0.45187,-0.16557,-0.1372
50,0.11374,-0.57395,1.0396,-0.36936,-0.08794,-0.07223,0.22412,-0.67168,1.30478,-0.54607,-0.17284,-0.14339
51,0.11468,-0.58436,1.05944,-0.37884,-0.08866,-0.07283,0.23319,-0.70744,1.43772,-0.64428,-0.17979,-0.14932
52,0.11443,-0.59311,1.07445,-0.38508,-0.08848,-0.07267,0.23861,-0.71036,1.51987,-0.72416,-0.18394,-0.15287
53,0.11291,-0.59847,1.08011,-0.3853,-0.0873,-0.0717,0.23785,-0.67567,1.53089,-0.76977,-0.18335,-0.15237
54,0.11033,-0.60393,1.0848,-0.38438,-0.08531,-0.07005,0.23511,-0.63226,1.52783,-0.8098,-0.18126,-0.15058
55,0.10671,-0.61028,1.08988,-0.38292,-0.08251,-0.06774,0.23122,-0.5871,1.52138,-0.84805,-0.17828,-0.14803
56,0.10201,-0.61759,1.09499,-0.38048,-0.07889,-0.06475,0.22613,-0.54268,1.51207,-0.88258,-0.17438,-0.1447
57,0.09619,-0.62575,1.09934,-0.37638,-0.07439,-0.06104,0.21959,-0.50079,1.49852,-0.91019,-0.16938,-0.14044
58,0.08907,-0.63069,1.09267,-0.36445,-0.06889,-0.05651,0.20772,-0.44496,1.42557,-0.8918,-0.16028,-0.13271
59,0.08066,-0.63284,1.07546,-0.34474,-0.06239,-0.05115,0.19183,-0.37787,1.29661,-0.82835,-0.14808,-0.12241
60,0.07096,-0.63522,1.05414,-0.32068,-0.0549,-0.04499,0.17505,-0.31204,1.14817,-0.74421,-0.13519,-0.11157
61,0.05998,-0.64089,1.03577,-0.29629,-0.04641,-0.03802,0.15943,-0.26677,1.02971,-0.66972,-0.12316,-0.1015
62,0.0478,-0.65254,1.02766,-0.2762,-0.03699,-0.03029,0.1461,-0.26956,1.00512,-0.64133,-0.1129,-0.09294
63,0.03447,-0.66652,1.02258,-0.25688,-0.02668,-0.02184,0.13282,-0.29252,1.01967,-0.632,-0.10266,-0.08443
64,0.02016,-0.68028,1.01534,-0.23569,-0.0156,-0.01277,0.11854,-0.31598,1.03301,-0.621,-0.09165,-0.0753
65,0.00495,-0.69357,1.00557,-0.21253,-0.00383,-0.00313,0.10335,-0.33974,1.04479,-0.60819,-0.07992,-0.06561
66,-0.01079,-0.70594,0.99307,-0.18769,0.00835,0.00683,0.08762,-0.36328,1.05457,-0.59369,-0.06777,-0.05559
