Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
44,-0.10979,-0.70774,1.39417,-0.58992,0.08489,0.06971,-0.10023,-0.51312,0.99539,-0.38525,0.0775,0.0636
45,-0.10626,-0.70791,1.39456,-0.58995,0.08217,0.06746,-0.09702,-0.51431,0.99787,-0.38639,0.07503,0.06156
46,-0.10187,-0.70809,1.39498,-0.58996,0.07877,0.06465,-0.09303,-0.51576,1.00089,-0.38777,0.07194,0.05902
47,-0.09639,-0.70546,1.38938,-0.58673,0.07454,0.06117,-0.08819,-0.51711,1.00351,-0.38883,0.06821,0.05594
48,-0.08893,-0.68969,1.3558,-0.56858,0.06878,0.05641,-0.08211,-0.51726,1.00269,-0.3876,0.06351,0.05207
49,-0.08003,-0.66315,1.29929,-0.53824,0.0619,0.05075,-0.07496,-0.5165,0.99919,-0.38458,0.05799,0.04753
50,-0.07003,-0.62958,1.22791,-0.50006,0.05417,0.0444,-0.06673,-0.51538,0.99439,-0.38062,0.05162,0.0423
51,-0.05917,-0.59316,1.15057,-0.45879,0.04577,0.0375,-0.05736,-0.51443,0.98968,-0.37658,0.04437,0.03635
52,-0.04754,-0.559,1.07809,-0.42018,0.03678,0.03012,-0.04678,-0.51412,0.98644,-0.37338,0.03619,0.02964
53,-0.03524,-0.53343,1.02394,-0.39134,0.02727,0.02233,-0.03505,-0.51484,0.98598,-0.37197,0.02712,0.0222
54,-0.02248,-0.52372,1.00345,-0.38038,0.01739,0.01424,-0.02245,-0.51688,0.9895,-0.37326,0.01737,0.01421
55,-0.00926,-0.52219,1.00033,-0.37869,0.00717,0.00587,-0.00926,-0.51938,0.99459,-0.37575,0.00716,0.00586
56,0.00421,-0.52024,0.99631,-0.37659,-0.00326,-0.00267,0.00421,-0.52152,0.99892,-0.37793,-0.00326,-0.00267
57,0.0176,-0.5179,0.99144,-0.37414,-0.01362,-0.01115,0.01762,-0.52326,1.00238,-0.37972,-0.01364,-0.01117
58,0.03061,-0.51524,0.98588,-0.37139,-0.02369,-0.01939,0.03067,-0.52457,1.00493,-0.38111,-0.02374,-0.01944
59,0.04293,-0.51236,0.97983,-0.36844,-0.03322,-0.0272,0.04304,-0.52548,1.00662,-0.38211,-0.03331,-0.02728
60,0.05426,-0.50941,0.97359,-0.36543,-0.04198,-0.03439,0.05444,-0.52603,1.00753,-0.38275,-0.04212,-0.03451
61,0.06435,-0.50691,0.96866,-0.36329,-0.04978,-0.04079,0.06472,-0.53095,1.01778,-0.38838,-0.05007,-0.04103
62,0.07319,-0.50607,0.96848,-0.36424,-0.05662,-0.04641,0.07428,-0.55242,1.06335,-0.4128,-0.05746,-0.0471
63,0.08087,-0.50661,0.97195,-0.36747,-0.06255,-0.0513,0.08323,-0.58443,1.1315,-0.44929,-0.06438,-0.05279
64,0.08745,-0.50807,0.9776,-0.37194,-0.06763,-0.05548,0.09151,-0.62028,1.20805,-0.49035,-0.07079,-0.05805
65,0.09296,-0.50994,0.98398,-0.37668,-0.07189,-0.05899,0.09896,-0.65453,1.28145,-0.52985,-0.07655,-0.06279
66,0.09742,-0.51169,0.98961,-0.38078,-0.07533,-0.06183,0.1053,-0.68278,1.3423,-0.56277,-0.08145,-0.06682
67,0.10084,-0.51276,0.9931,-0.38336,-0.07797,-0.06402,0.11016,-0.7012,1.38237,-0.58467,-0.08521,-0.06991
68,0.10322,-0.51259,0.99306,-0.38361,-0.0798,-0.06554,0.11313,-0.70625,1.394,-0.59141,-0.08751,-0.07179
69,0.10462,-0.51211,0.99197,-0.38307,-0.08088,-0.06644,0.11468,-0.70577,1.39386,-0.59184,-0.08872,-0.07277
70,0.1051,-0.51199,0.99161,-0.38285,-0.08124,-0.06675,0.11522,-0.70534,1.39386,-0.5923,-0.08915,-0.07311
71,0.10466,-0.51224,0.99199,-0.38297,-0.0809,-0.06648,0.11475,-0.70497,1.39398,-0.59277,-0.08879,-0.07279
72,0.1033,-0.51284,0.99311,-0.38342,-0.07984,-0.06562,0.11325,-0.70467,1.39423,-0.59324,-0.08765,-0.07183
73,0.101,-0.51381,0.99496,-0.38418,-0.07806,-0.06416,0.11073,-0.70443,1.3946,-0.5937,-0.08571,-0.07021
74,0.09774,-0.51513,0.99752,-0.38525,-0.07554,-0.06209,0.10715,-0.70427,1.39504,-0.59412,-0.08295,-0.06791
75,0.09345,-0.51628,0.99936,-0.38575,-0.07222,-0.05936,0.10219,-0.69989,1.38637,-0.58957,-0.07913,-0.06474
76,0.08709,-0.51652,0.99832,-0.38418,-0.0673,-0.05532,0.0943,-0.68227,1.34921,-0.56965,-0.07304,-0.05971
77,0.08078,-0.51557,0.99401,-0.38056,-0.06242,-0.05131,0.08618,-0.65447,1.29021,-0.53808,-0.06678,-0.05454
78,0.07338,-0.5144,0.98867,-0.37612,-0.05669,-0.04662,0.07697,-0.62034,1.21761,-0.49925,-0.05966,-0.04867
79,0.06483,-0.51353,0.98372,-0.37174,-0.05008,-0.04119,0.06687,-0.58417,1.14058,-0.45803,-0.05186,-0.04225
80,0.05505,-0.51348,0.98058,-0.36837,-0.04251,-0.03499,0.05599,-0.55122,1.07031,-0.42039,-0.04345,-0.03535
81,0.04409,-0.51463,0.98061,-0.36698,-0.03403,-0.02805,0.04444,-0.52801,1.02065,-0.39365,-0.03451,-0.02802
82,0.0322,-0.51723,0.98485,-0.3684,-0.02483,-0.02051,0.03239,-0.52126,1.00583,-0.38535,-0.02518,-0.02038
83,0.01963,-0.52017,0.99024,-0.37068,-0.0151,-0.01255,0.01977,-0.52036,1.00337,-0.38363,-0.01542,-0.01239
84,0.00666,-0.52283,0.99498,-0.37268,-0.00506,-0.00434,0.00679,-0.51907,1.00006,-0.38152,-0.00537,-0.00417
85,-0.00637,-0.52511,0.99893,-0.37435,0.00503,0.00391,-0.00625,-0.5174,0.99594,-0.37907,0.00473,0.00408
86,-0.01914,-0.52699,1.00201,-0.37564,0.01491,0.012,-0.019,-0.51539,0.99111,-0.37633,0.01459,0.01216
87,-0.03131,-0.52844,1.00424,-0.37656,0.02433,0.01971,-0.03113,-0.51314,0.98578,-0.3734,0.02398,0.01984
88,-0.04253,-0.52951,1.00568,-0.37714,0.03301,0.02682,-0.0423,-0.51077,0.98022,-0.3704,0.03262,0.02692
89,-0.05265,-0.53702,1.02095,-0.38513,0.04083,0.03324,-0.05222,-0.509,0.97647,-0.36865,0.0403,0.03321
90,-0.06199,-0.56087,1.07121,-0.4118,0.04805,0.03917,-0.06091,-0.50881,0.97736,-0.36998,0.04702,0.03872
91,-0.07064,-0.59414,1.1418,-0.44942,0.05473,0.04467,-0.06843,-0.50986,0.98161,-0.37342,0.05284,0.0435
92,-0.07857,-0.63028,1.2189,-0.49066,0.06085,0.04972,-0.07485,-0.51169,0.98775,-0.37794,0.0578,0.04757
93,-0.08562,-0.66403,1.29133,-0.52963,0.06629,0.05423,-0.08021,-0.51382,0.99433,-0.3826,0.06195,0.05097
94,-0.09154,-0.69109,1.34994,-0.56144,0.07085,0.05801,-0.08452,-0.5157,0.99994,-0.3865,0.06529,0.0537
95,-0.096,-0.70766,1.38659,-0.58172,0.07428,0.06087,-0.0878,-0.51679,1.00315,-0.38877,0.06784,0.05578
96,-0.09868,-0.71075,1.3948,-0.58697,0.07633,0.0626,-0.09006,-0.51663,1.00283,-0.38871,0.06958,0.0572
97,-0.0998,-0.70994,1.39484,-0.58787,0.07717,0.06333,-0.09108,-0.5164,1.00214,-0.38829,0.07039,0.05785
98,-0.10017,-0.70912,1.39495,-0.58882,0.07744,0.06359,-0.09143,-0.51641,1.00194,-0.3881,0.07067,0.05806
99,-0.09953,-0.70832,1.39514,-0.58978,0.07693,0.06321,-0.09086,-0.51675,1.00243,-0.38822,0.07024,0.05768
100,-0.09788,-0.70755,1.3954,-0.59073,0.07564,0.06218,-0.08938,-0.5174,1.00357,-0.38865,0.0691,0.05672
101,-0.0952,-0.70683,1.39573,-0.59164,0.07355,0.06049,-0.08695,-0.51838,1.00538,-0.38937,0.06723,0.05516
102,-0.09145,-0.70617,1.39608,-0.59248,0.07064,0.05813,-0.08355,-0.51968,1.00782,-0.39038,0.06462,0.05299
103,-0.08627,-0.69953,1.38348,-0.5863,0.06662,0.05485,-0.07911,-0.52056,1.00894,-0.39044,0.0612,0.05015
104,-0.07935,-0.67969,1.34244,-0.56482,0.06126,0.05046,-0.07357,-0.52019,1.00647,-0.38812,0.05693,0.04661
105,-0.07103,-0.65028,1.28074,-0.53222,0.05482,0.04519,-0.06689,-0.51912,1.00175,-0.38425,0.05178,0.04236
106,-0.06162,-0.61513,1.20657,-0.49289,0.04754,0.03922,-0.05905,-0.51788,0.99616,-0.37966,0.04573,0.03737
107,-0.0513,-0.57863,1.12929,-0.45182,0.03955,0.03268,-0.05001,-0.51698,0.99107,-0.37522,0.03874,0.03162
108,-0.04016,-0.54621,1.06042,-0.41512,0.03093,0.02561,-0.0397,-0.51691,0.98788,-0.37187,0.03077,0.02507
109,-0.02831,-0.52456,1.01416,-0.39032,0.02177,0.0181,-0.02825,-0.51802,0.98787,-0.37056,0.02193,0.0178
110,-0.01593,-0.5194,1.00265,-0.38383,0.01219,0.01025,-0.01595,-0.52047,0.99185,-0.37196,0.01241,0.01
111,-0.00304,-0.51804,0.99913,-0.38162,0.00223,0.00207,-0.00307,-0.52303,0.99632,-0.37382,0.00246,0.00183
112,0.01009,-0.51627,0.99473,-0.37901,-0.00793,-0.00625,0.01006,-0.52524,1.00007,-0.37537,-0.0077,-0.00649
113,0.02313,-0.51412,0.98954,-0.37607,-0.01801,-0.01452,0.02313,-0.52707,1.00298,-0.37656,-0.01781,-0.01478
114,0.03576,-0.51167,0.98371,-0.37288,-0.02778,-0.02253,0.03581,-0.52848,1.00504,-0.37739,-0.02761,-0.02282
115,0.04766,-0.50903,0.97749,-0.36954,-0.03698,-0.03008,0.04777,-0.5295,1.0063,-0.37788,-0.03686,-0.0304
116,0.05853,-0.50633,0.97116,-0.3662,-0.04539,-0.03697,0.05871,-0.53016,1.00686,-0.37806,-0.04532,-0.03735
