Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
43,-0.09276,-0.52539,1.00631,-0.38355,0.07174,0.05885,-0.09223,-0.49677,0.94787,-0.35371,0.07133,0.05851
44,-0.09972,-0.53216,1.02059,-0.39139,0.07712,0.06329,-0.09885,-0.49486,0.94442,-0.35248,0.07644,0.06272
45,-0.10654,-0.55093,1.06037,-0.41276,0.08238,0.06763,-0.10478,-0.49424,0.94459,-0.35356,0.08102,0.0665
46,-0.11322,-0.57788,1.11756,-0.44336,0.08754,0.0719,-0.11007,-0.49472,0.94763,-0.35641,0.0851,0.06988
47,-0.11974,-0.6094,1.18454,-0.47919,0.09257,0.07606,-0.11474,-0.49605,0.95277,-0.36048,0.08871,0.07286
48,-0.12632,-0.64411,1.25836,-0.5187,0.09764,0.08026,-0.11902,-0.49811,0.95961,-0.36551,0.09201,0.07559
49,-0.13248,-0.67764,1.32978,-0.55698,0.1024,0.08421,-0.12267,-0.50052,0.96707,-0.37077,0.09483,0.07792
50,-0.13803,-0.70764,1.39378,-0.59135,0.10668,0.08776,-0.1257,-0.50295,0.97428,-0.37573,0.09717,0.07986
51,-0.14272,-0.73207,1.44597,-0.61945,0.11029,0.09076,-0.12812,-0.50509,0.98043,-0.3799,0.09904,0.08141
52,-0.14623,-0.74903,1.48228,-0.63904,0.11299,0.09302,-0.12993,-0.50658,0.98472,-0.38281,0.10043,0.08257
53,-0.14827,-0.75662,1.49852,-0.64784,0.11456,0.09432,-0.13111,-0.5071,0.98633,-0.38397,0.10134,0.08332
54,-0.14894,-0.75678,1.49886,-0.64807,0.11508,0.09476,-0.13169,-0.50688,0.98586,-0.38377,0.10178,0.08369
55,-0.14899,-0.75678,1.49885,-0.64807,0.11512,0.09479,-0.13173,-0.50686,0.98582,-0.38375,0.10182,0.08372
56,-0.14844,-0.75683,1.49897,-0.64809,0.1147,0.09444,-0.13125,-0.50707,0.98628,-0.38396,0.10144,0.08341
57,-0.14729,-0.75694,1.49921,-0.64813,0.11381,0.09369,-0.13023,-0.50753,0.98723,-0.38439,0.10066,0.08276
58,-0.14551,-0.7571,1.49957,-0.6482,0.11244,0.09255,-0.12867,-0.50822,0.98868,-0.38505,0.09946,0.08176
59,-0.14309,-0.75732,1.50004,-0.64829,0.11058,0.091,-0.12655,-0.50916,0.99064,-0.38594,0.09782,0.0804
60,-0.14002,-0.75758,1.50062,-0.64839,0.10821,0.08903,-0.12384,-0.51033,0.99309,-0.38705,0.09573,0.07867
61,-0.13625,-0.75789,1.50129,-0.6485,0.1053,0.08662,-0.12052,-0.51173,0.99604,-0.38839,0.09317,0.07655
62,-0.13171,-0.7579,1.50135,-0.64824,0.1018,0.08371,-0.11656,-0.51334,0.99937,-0.38989,0.09011,0.07402
63,-0.12573,-0.75017,1.48482,-0.63906,0.09719,0.07989,-0.11185,-0.51416,1.00054,-0.38998,0.08648,0.07101
64,-0.11827,-0.7331,1.44833,-0.6192,0.09143,0.07512,-0.10634,-0.51404,0.9991,-0.38836,0.08223,0.0675
65,-0.10961,-0.70859,1.39601,-0.5909,0.08475,0.06959,-0.10002,-0.5133,0.99584,-0.38552,0.07734,0.06347
66,-0.10003,-0.67852,1.33193,-0.55639,0.07735,0.06348,-0.09283,-0.51226,0.99153,-0.38191,0.07179,0.05889
67,-0.08971,-0.64492,1.26043,-0.51801,0.06938,0.05691,-0.08474,-0.51124,0.98697,-0.37801,0.06554,0.05375
68,-0.07876,-0.61011,1.18646,-0.4784,0.06092,0.04995,-0.0757,-0.51054,0.98292,-0.37431,0.05855,0.04799
69,-0.06724,-0.57692,1.11604,-0.44076,0.05201,0.04262,-0.06561,-0.51042,0.98018,-0.37134,0.05076,0.04159
70,-0.05515,-0.54884,1.05654,-0.40897,0.04267,0.03495,-0.05448,-0.51109,0.97944,-0.3696,0.04214,0.03452
71,-0.04264,-0.53002,1.01671,-0.38766,0.03299,0.02701,-0.04245,-0.51269,0.98134,-0.36961,0.03284,0.02689
72,-0.02977,-0.52435,1.00483,-0.38122,0.02303,0.01886,-0.02971,-0.51529,0.98634,-0.37179,0.02299,0.01882
73,-0.01645,-0.52301,1.00215,-0.37973,0.01273,0.01042,-0.01643,-0.51801,0.99194,-0.37452,0.01271,0.0104
74,-0.00282,-0.52124,0.99854,-0.37783,0.00218,0.00178,-0.00282,-0.52038,0.9968,-0.37694,0.00218,0.00178
75,0.01092,-0.51903,0.99401,-0.37553,-0.00845,-0.00692,0.01092,-0.52235,1.00079,-0.37899,-0.00846,-0.00693
76,0.02454,-0.51642,0.98862,-0.37287,-0.01899,-0.01555,0.02458,-0.52389,1.00388,-0.38066,-0.01902,-0.01557
77,0.03784,-0.51345,0.98247,-0.3699,-0.02928,-0.02397,0.03793,-0.525,1.00606,-0.38193,-0.02935,-0.02404
78,0.0506,-0.51021,0.97574,-0.36668,-0.03915,-0.03207,0.05076,-0.5257,1.00736,-0.38281,-0.03928,-0.03217
79,0.06263,-0.5068,0.96863,-0.36331,-0.04846,-0.0397,0.06287,-0.52604,1.0079,-0.38335,-0.04864,-0.03986
